PeakID (cmd=annotatePeaks.pl /jet/home/bpaliwal/LiverOCRAnalysis/LiverOCRAnalysis/results/classification_results/raw_results/mouse_mapped_from_human_promoters.bed /ocean/projects/bio230007p/ikaplow/MouseGenomeInfo/mm10.fa -gtf /ocean/projects/bio230007p/bpaliwal/MouseGenomeInfo/gencode.vM10.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr11-466	chr11	97575716	97576095	+	97576651	NA	promoter-TSS (ENSMUST00000107596.8)	-promoter-TSS (ENSMUST00000107596.8)	281	ENSMUST00000145845.2	ENSMUSG00000038453	ENSMUST00000145845			Srcin1			
chr11-467	chr11	97576304	97576958	+	97576651	NA	promoter-TSS (ENSMUST00000145845.2)	-promoter-TSS (ENSMUST00000145845.2)	-445	ENSMUST00000145845.2	ENSMUSG00000038453	ENSMUST00000145845			Srcin1			
chr11-464	chr11	97532820	97533510	+	97535009	NA	exon (ENSMUST00000107590.8, exon 10 of 18)	-exon (ENSMUST00000107590.8, exon 10 of 18)	-11270	ENSMUST00000134289.1	ENSMUSG00000087042	ENSMUST00000134289			Gm11611			
chr11-465	chr11	97532820	97533510	+	97535009	NA	exon (ENSMUST00000107590.8, exon 10 of 18)	-exon (ENSMUST00000107590.8, exon 10 of 18)	-11270	ENSMUST00000134289.1	ENSMUSG00000087042	ENSMUST00000134289			Gm11611			
chr11-462	chr11	97400498	97400859	+	97400165	NA	Intergenic	Intergenic	-14855	ENSMUST00000121799.7	ENSMUSG00000049807	ENSMUST00000093940			Arhgap23			
chr11-463	chr11	97400498	97400859	+	97400165	NA	Intergenic	Intergenic	-14855	ENSMUST00000121799.7	ENSMUSG00000049807	ENSMUST00000093940			Arhgap23			
chr13-245	chr13	97375120	97376107	+	97377612	NA	Intergenic	Intergenic	-59357	ENSMUST00000109431.9	ENSMUSG00000078952	ENSMUST00000109431			Lncenc1			
chr13-246	chr13	97375120	97376107	+	97377612	NA	Intergenic	Intergenic	-59357	ENSMUST00000109431.9	ENSMUSG00000078952	ENSMUST00000109431			Lncenc1			
chr7-348	chr7	97371114	97372146	+	97373212	NA	promoter-TSS (ENSMUST00000098300.5)	-promoter-TSS (ENSMUST00000098300.5)	24	ENSMUST00000098300.5	ENSMUSG00000035704	ENSMUST00000149031			Alg8			
chr7-347	chr7	97371114	97372146	+	97373212	NA	promoter-TSS (ENSMUST00000098300.5)	-promoter-TSS (ENSMUST00000098300.5)	24	ENSMUST00000098300.5	ENSMUSG00000035704	ENSMUST00000149031			Alg8			
chr7-346	chr7	97344261	97344613	+	97345840	NA	intron (ENSMUST00000054107.5, intron 1 of 1)	-intron (ENSMUST00000054107.5, intron 1 of 1)	12110	ENSMUST00000054107.5	ENSMUSG00000044952	ENSMUST00000054107			Kctd21			
chr7-345	chr7	97344261	97344613	+	97345840	NA	intron (ENSMUST00000054107.5, intron 1 of 1)	-intron (ENSMUST00000054107.5, intron 1 of 1)	12110	ENSMUST00000054107.5	ENSMUSG00000044952	ENSMUST00000054107			Kctd21			
chr13-243	chr13	97340341	97341479	+	97338754	NA	Intergenic	Intergenic	57728	ENSMUST00000181148.1	ENSMUSG00000097932	ENSMUST00000181148			C430039J16Rik			
chr13-244	chr13	97340341	97341479	+	97338754	NA	Intergenic	Intergenic	57728	ENSMUST00000181148.1	ENSMUSG00000097932	ENSMUST00000181148			C430039J16Rik			
chr13-242	chr13	97340341	97341479	+	97338754	NA	Intergenic	Intergenic	57728	ENSMUST00000181148.1	ENSMUSG00000097932	ENSMUST00000181148			C430039J16Rik			
chr9-327	chr9	97320753	97321597	+	97321553	NA	Intergenic	Intergenic	-28441	ENSMUST00000127307.1	ENSMUSG00000087167	ENSMUST00000127307			Gm15891			
chr9-328	chr9	97320753	97321597	+	97321553	NA	Intergenic	Intergenic	-28441	ENSMUST00000127307.1	ENSMUSG00000087167	ENSMUST00000127307			Gm15891			
chr7-344	chr7	97297548	97297824	+	97299216	NA	intron (ENSMUST00000206791.1, intron 3 of 9)	-intron (ENSMUST00000004622.6, intron 3 of 9)	17339	ENSMUST00000181351.7	ENSMUSG00000035713	ENSMUST00000181354			Usp35			
chr16-244	chr16	97293203	97293645	+	97291246	NA	Intergenic	Intergenic	-63304	ENSMUST00000047275.6	ENSMUSG00000040605	ENSMUST00000047275			Bace2			
chr13-241	chr13	97234914	97235355	+	97234715	NA	Intergenic	Intergenic	-5971	ENSMUST00000041623.7	ENSMUSG00000041773	ENSMUST00000041623			Enc1			
chr13-240	chr13	97234914	97235355	+	97234715	NA	Intergenic	Intergenic	-5971	ENSMUST00000041623.7	ENSMUSG00000041773	ENSMUST00000041623			Enc1			
chr13-239	chr13	97205073	97205805	+	97203793	NA	Intergenic	Intergenic	-7082	ENSMUST00000022169.7	ENSMUSG00000021665	ENSMUST00000022169			Hexb			
chr13-238	chr13	97205073	97205805	+	97203793	NA	Intergenic	Intergenic	-7082	ENSMUST00000022169.7	ENSMUSG00000021665	ENSMUST00000022169			Hexb			
chr9-326	chr9	97110531	97111504	+	97109852	NA	promoter-TSS (ENSMUST00000148337.1)	-promoter-TSS (ENSMUST00000148337.1)	-10	ENSMUST00000153070.7	ENSMUSG00000032449	ENSMUST00000124250			Slc25a36			
chr5-262	chr5	97056810	97057088	+	97057564	NA	exon (ENSMUST00000035635.9, exon 10 of 16)	-exon (ENSMUST00000035635.9, exon 10 of 16)	10768	ENSMUST00000198963.1	ENSMUSG00000104591	ENSMUST00000198963			Gm43145			
chr15-359	chr15	97053869	97056168	+	97054909	NA	intron (ENSMUST00000023101.9, intron 1 of 15)	-intron (ENSMUST00000023101.9, intron 1 of 15)	938	ENSMUST00000023101.9	ENSMUSG00000022464	ENSMUST00000023101			Slc38a4			
chr15-358	chr15	97053869	97056168	+	97054909	NA	intron (ENSMUST00000023101.9, intron 1 of 15)	-intron (ENSMUST00000023101.9, intron 1 of 15)	938	ENSMUST00000023101.9	ENSMUSG00000022464	ENSMUST00000023101			Slc38a4			
chr15-360	chr15	97053869	97056168	+	97054909	NA	intron (ENSMUST00000023101.9, intron 1 of 15)	-intron (ENSMUST00000023101.9, intron 1 of 15)	938	ENSMUST00000023101.9	ENSMUSG00000022464	ENSMUST00000023101			Slc38a4			
chr11-461	chr11	97050614	97051162	+	97050539	NA	promoter-TSS (ENSMUST00000154084.7)	-promoter-TSS (ENSMUST00000154084.7)	68	ENSMUST00000168565.1	ENSMUSG00000038534	ENSMUST00000154084			Osbpl7			
chr7-343	chr7	97050839	97051335	+	97049209	NA	intron (ENSMUST00000150681.2, intron 1 of 3)	-intron (ENSMUST00000044466.11, intron 11 of 13)	11083	ENSMUST00000150681.2	ENSMUSG00000018995	ENSMUST00000107159			Nars2			
chr11-460	chr11	97026160	97026362	+	97026996	NA	promoter-TSS (ENSMUST00000128111.1)	-promoter-TSS (ENSMUST00000128111.1)	-13	ENSMUST00000128111.1	ENSMUSG00000087067	ENSMUST00000128111			Gm11532			
chr5-261	chr5	96996931	96998531	+	96997363	NA	promoter-TSS (ENSMUST00000035635.9)	-promoter-TSS (ENSMUST00000035635.9)	42	ENSMUST00000112974.5	ENSMUSG00000034663	ENSMUST00000112974			Bmp2k			
chr5-258	chr5	96996931	96998531	+	96997363	NA	promoter-TSS (ENSMUST00000035635.9)	-promoter-TSS (ENSMUST00000035635.9)	42	ENSMUST00000112974.5	ENSMUSG00000034663	ENSMUST00000112974			Bmp2k			
chr5-260	chr5	96996931	96998531	+	96997363	NA	promoter-TSS (ENSMUST00000035635.9)	-promoter-TSS (ENSMUST00000035635.9)	42	ENSMUST00000112974.5	ENSMUSG00000034663	ENSMUST00000112974			Bmp2k			
chr5-259	chr5	96996931	96998531	+	96997363	NA	promoter-TSS (ENSMUST00000035635.9)	-promoter-TSS (ENSMUST00000035635.9)	42	ENSMUST00000112974.5	ENSMUSG00000034663	ENSMUST00000112974			Bmp2k			
chr11-458	chr11	96943437	96944307	+	96941453	NA	promoter-TSS (ENSMUST00000107628.7)	-promoter-TSS (ENSMUST00000107628.7)	86	ENSMUST00000107629.1	ENSMUSG00000018659	ENSMUST00000107629			Pnpo			
chr11-459	chr11	96943437	96944307	+	96941453	NA	promoter-TSS (ENSMUST00000107628.7)	-promoter-TSS (ENSMUST00000107628.7)	86	ENSMUST00000107629.1	ENSMUSG00000018659	ENSMUST00000107629			Pnpo			
chr11-457	chr11	96937472	96937817	+	96939516	NA	TTS (ENSMUST00000018803.11)	-TTS (ENSMUST00000018803.11)	6135	ENSMUST00000153896.1	ENSMUSG00000018659	ENSMUST00000107629			Pnpo			
chr3-267	chr3	96905073	96905533	+	96906037	NA	promoter-TSS (ENSMUST00000029738.13)	-promoter-TSS (ENSMUST00000029738.13)	9	ENSMUST00000154750.1	ENSMUSG00000028096	ENSMUST00000154750			Gpr89			
chr3-269	chr3	96905102	96905604	+	96906037	NA	promoter-TSS (ENSMUST00000029738.13)	-promoter-TSS (ENSMUST00000029738.13)	-7	ENSMUST00000029738.13	ENSMUSG00000028096	ENSMUST00000154750			Gpr89			
chr3-268	chr3	96905073	96905533	+	96906037	NA	promoter-TSS (ENSMUST00000029738.13)	-promoter-TSS (ENSMUST00000029738.13)	9	ENSMUST00000154750.1	ENSMUSG00000028096	ENSMUST00000154750			Gpr89			
chr3-270	chr3	96905179	96905414	+	96906037	NA	promoter-TSS (ENSMUST00000029738.13)	-promoter-TSS (ENSMUST00000029738.13)	16	ENSMUST00000154750.1	ENSMUSG00000028096	ENSMUST00000154750			Gpr89			
chr10-281	chr10	96871105	96871836	+	96871629	NA	Intergenic	Intergenic	-15800	ENSMUST00000116697.1	ENSMUSG00000080347	ENSMUST00000116697			Gm24587			
chr11-455	chr11	96829170	96830584	+	96828650	NA	promoter-TSS (ENSMUST00000081775.11)	-promoter-TSS (ENSMUST00000081775.11)	78	ENSMUST00000107657.7	ENSMUSG00000038615	ENSMUST00000167149			Nfe2l1			
chr11-453	chr11	96829170	96830584	+	96828650	NA	promoter-TSS (ENSMUST00000081775.11)	-promoter-TSS (ENSMUST00000081775.11)	78	ENSMUST00000107657.7	ENSMUSG00000038615	ENSMUST00000167149			Nfe2l1			
chr11-454	chr11	96829170	96830584	+	96828650	NA	promoter-TSS (ENSMUST00000081775.11)	-promoter-TSS (ENSMUST00000081775.11)	78	ENSMUST00000107657.7	ENSMUSG00000038615	ENSMUST00000167149			Nfe2l1			
chr11-456	chr11	96829170	96830584	+	96828650	NA	promoter-TSS (ENSMUST00000081775.11)	-promoter-TSS (ENSMUST00000081775.11)	78	ENSMUST00000107657.7	ENSMUSG00000038615	ENSMUST00000167149			Nfe2l1			
chr11-452	chr11	96818222	96818672	+	96818929	NA	exon (ENSMUST00000081775.11, exon 5 of 5)	-exon (ENSMUST00000081775.11, exon 5 of 5)	4278	ENSMUST00000134951.1	ENSMUSG00000038615	ENSMUST00000167149			Nfe2l1			
chr3-265	chr3	96708030	96708891	+	96706078	NA	promoter-TSS (ENSMUST00000029742.8)	-promoter-TSS (ENSMUST00000029742.8)	79	ENSMUST00000029742.8	ENSMUSG00000028100	ENSMUST00000200387			Nudt17			
chr3-266	chr3	96708030	96708891	+	96706078	NA	promoter-TSS (ENSMUST00000029742.8)	-promoter-TSS (ENSMUST00000029742.8)	79	ENSMUST00000029742.8	ENSMUSG00000028100	ENSMUST00000200387			Nudt17			
chr9-325	chr9	96696302	96697041	+	96695519	NA	intron (ENSMUST00000152594.7, intron 5 of 5)	-intron (ENSMUST00000093798.8, intron 2 of 2)	-9157	ENSMUST00000186821.1	ENSMUSG00000102097	ENSMUST00000186821			A930006L05Rik			
chr9-324	chr9	96696302	96697041	+	96695519	NA	intron (ENSMUST00000152594.7, intron 5 of 5)	-intron (ENSMUST00000093798.8, intron 2 of 2)	-9157	ENSMUST00000186821.1	ENSMUSG00000102097	ENSMUST00000186821			A930006L05Rik			
chr9-323	chr9	96689898	96690744	+	96691808	NA	intron (ENSMUST00000152594.7, intron 5 of 5)	-intron (ENSMUST00000093798.8, intron 2 of 2)	-15507	ENSMUST00000186821.1	ENSMUSG00000102097	ENSMUST00000186821			A930006L05Rik			
chr10-280	chr10	96693024	96693535	+	96691443	NA	Intergenic	Intergenic	76278	ENSMUST00000038377.7	ENSMUSG00000036478	ENSMUST00000038377			Btg1			
chr10-278	chr10	96690421	96690599	+	96691443	NA	Intergenic	Intergenic	73509	ENSMUST00000038377.7	ENSMUSG00000036478	ENSMUST00000038377			Btg1			
chr10-279	chr10	96690900	96691417	+	96691443	NA	Intergenic	Intergenic	74157	ENSMUST00000038377.7	ENSMUSG00000036478	ENSMUST00000038377			Btg1			
chr15-357	chr15	96665765	96666211	+	96664646	NA	Intergenic	Intergenic	-5805	ENSMUST00000082994.1	ENSMUSG00000064928	ENSMUST00000082994			Gm22045			
chr10-277	chr10	96638824	96639502	+	96636900	NA	Intergenic	Intergenic	22162	ENSMUST00000038377.7	ENSMUSG00000036478	ENSMUST00000038377			Btg1			
chr3-263	chr3	96635281	96636063	+	96634979	NA	promoter-TSS (ENSMUST00000048766.14)	-promoter-TSS (ENSMUST00000048766.14)	0	ENSMUST00000048766.14	ENSMUSG00000028102	ENSMUST00000147821			Pex11b			
chr3-264	chr3	96635281	96636063	+	96634979	NA	promoter-TSS (ENSMUST00000048766.14)	-promoter-TSS (ENSMUST00000048766.14)	0	ENSMUST00000048766.14	ENSMUSG00000028102	ENSMUST00000147821			Pex11b			
chr3-260	chr3	96629802	96630547	+	96631580	NA	promoter-TSS (ENSMUST00000059190.2)	-promoter-TSS (ENSMUST00000059190.2)	-23	ENSMUST00000200647.1	ENSMUSG00000038374	ENSMUST00000198027			Rbm8a			
chr3-261	chr3	96629802	96630547	+	96631580	NA	promoter-TSS (ENSMUST00000059190.2)	-promoter-TSS (ENSMUST00000059190.2)	-23	ENSMUST00000200647.1	ENSMUSG00000038374	ENSMUST00000198027			Rbm8a			
chr3-262	chr3	96629802	96630547	+	96631580	NA	promoter-TSS (ENSMUST00000059190.2)	-promoter-TSS (ENSMUST00000059190.2)	-23	ENSMUST00000200647.1	ENSMUSG00000038374	ENSMUST00000198027			Rbm8a			
chr3-258	chr3	96600809	96601711	+	96603699	NA	exon (ENSMUST00000062058.4, exon 1 of 6)	-exon (ENSMUST00000062058.4, exon 1 of 6)	111	ENSMUST00000062058.4	ENSMUSG00000049288	ENSMUST00000199166			Lix1l			
chr3-259	chr3	96600809	96601711	+	96603699	NA	exon (ENSMUST00000062058.4, exon 1 of 6)	-exon (ENSMUST00000062058.4, exon 1 of 6)	111	ENSMUST00000062058.4	ENSMUSG00000049288	ENSMUST00000199166			Lix1l			
chr15-356	chr15	96598978	96599302	+	96598007	NA	intron (ENSMUST00000100262.2, intron 4 of 15)	-intron (ENSMUST00000088452.10, intron 4 of 15)	42822	ENSMUST00000100262.2	ENSMUSG00000023169	ENSMUST00000088454			Slc38a1			
chr15-355	chr15	96598373	96598550	+	96598007	NA	intron (ENSMUST00000100262.2, intron 4 of 15)	-intron (ENSMUST00000088452.10, intron 4 of 15)	43501	ENSMUST00000100262.2	ENSMUSG00000023169	ENSMUST00000088454			Slc38a1			
chr3-257	chr3	96576522	96577223	+	96577446	NA	promoter-TSS (ENSMUST00000148290.1)	-promoter-TSS (ENSMUST00000148290.1)	-112	ENSMUST00000148290.1	ENSMUSG00000087610	ENSMUST00000148290			Gm16253			
chr7-342	chr7	96571038	96571659	+	96569200	NA	intron (ENSMUST00000107166.7, intron 5 of 32)	-intron (ENSMUST00000107162.7, intron 6 of 32)	48950	ENSMUST00000129737.1	ENSMUSG00000048078	ENSMUST00000107165			Tenm4			
chr7-341	chr7	96571038	96571659	+	96569200	NA	intron (ENSMUST00000107166.7, intron 5 of 32)	-intron (ENSMUST00000107162.7, intron 6 of 32)	48950	ENSMUST00000129737.1	ENSMUSG00000048078	ENSMUST00000107165			Tenm4			
chr7-339	chr7	96567018	96567629	+	96569200	NA	intron (ENSMUST00000107166.7, intron 5 of 32)	-intron (ENSMUST00000107162.7, intron 6 of 32)	44925	ENSMUST00000129737.1	ENSMUSG00000048078	ENSMUST00000107165			Tenm4			
chr7-340	chr7	96567018	96567629	+	96569200	NA	intron (ENSMUST00000107166.7, intron 5 of 32)	-intron (ENSMUST00000107162.7, intron 6 of 32)	44925	ENSMUST00000129737.1	ENSMUSG00000048078	ENSMUST00000107165			Tenm4			
chr9-322	chr9	96564482	96565041	+	96564822	NA	promoter-TSS (ENSMUST00000185435.1)	-promoter-TSS (ENSMUST00000185435.1)	-886	ENSMUST00000185435.1	ENSMUSG00000032413	ENSMUST00000185435			Rasa2			
chr7-338	chr7	96554489	96555055	+	96556032	NA	intron (ENSMUST00000107166.7, intron 5 of 32)	-intron (ENSMUST00000107162.7, intron 6 of 32)	32374	ENSMUST00000129737.1	ENSMUSG00000048078	ENSMUST00000107165			Tenm4			
chr13-237	chr13	96511848	96512374	+	96513437	NA	intron (ENSMUST00000091387.3, intron 2 of 13)	-intron (ENSMUST00000022172.10, intron 3 of 14)	7049	ENSMUST00000091387.3	ENSMUSG00000021668	ENSMUST00000022172			Polk			
chr7-337	chr7	96461096	96461688	+	96461639	NA	intron (ENSMUST00000138760.7, intron 3 of 4)	-intron (ENSMUST00000107162.7, intron 3 of 32)	-25375	ENSMUST00000117302.2	ENSMUSG00000082780	ENSMUST00000117302			Rps11-ps5			
chr9-321	chr9	96376024	96376528	+	96377184	NA	Intergenic	Intergenic	-11834	ENSMUST00000034983.6	ENSMUSG00000032412	ENSMUST00000034983			Atp1b3			
chr10-275	chr10	96332343	96332613	+	96331582	NA	Intergenic	Intergenic	76560	ENSMUST00000179683.2	ENSMUSG00000094249	ENSMUST00000179683			Gm20091			
chr10-276	chr10	96332722	96333210	+	96331582	NA	Intergenic	Intergenic	76072	ENSMUST00000179683.2	ENSMUSG00000094249	ENSMUST00000179683			Gm20091			
chr11-451	chr11	96234892	96235293	+	96233802	NA	Intergenic	Intergenic	-13541	ENSMUST00000119837.1	ENSMUSG00000083337	ENSMUST00000119837			Gm11539			
chr10-273	chr10	96208879	96209951	+	96207096	NA	Intergenic	Intergenic	45084	ENSMUST00000175297.1	ENSMUSG00000094523	ENSMUST00000175297			Gm22913			
chr10-272	chr10	96208879	96209951	+	96207096	NA	Intergenic	Intergenic	45084	ENSMUST00000175297.1	ENSMUSG00000094523	ENSMUST00000175297			Gm22913			
chr10-274	chr10	96208879	96209951	+	96207096	NA	Intergenic	Intergenic	45084	ENSMUST00000175297.1	ENSMUSG00000094523	ENSMUST00000175297			Gm22913			
chr3-256	chr3	96171827	96172847	+	96171100	NA	promoter-TSS (ENSMUST00000076372.4)	-promoter-TSS (ENSMUST00000076372.4)	5	ENSMUST00000076372.4	ENSMUSG00000068856	ENSMUST00000153977			Sf3b4			
chr3-254	chr3	96171827	96172847	+	96171100	NA	promoter-TSS (ENSMUST00000076372.4)	-promoter-TSS (ENSMUST00000076372.4)	5	ENSMUST00000076372.4	ENSMUSG00000068856	ENSMUST00000153977			Sf3b4			
chr3-255	chr3	96171827	96172847	+	96171100	NA	promoter-TSS (ENSMUST00000076372.4)	-promoter-TSS (ENSMUST00000076372.4)	5	ENSMUST00000076372.4	ENSMUSG00000068856	ENSMUST00000153977			Sf3b4			
chr3-253	chr3	96160044	96160654	+	96161934	NA	exon (ENSMUST00000035519.11, exon 12 of 12)	-exon (ENSMUST00000035519.11, exon 12 of 12)	-1655	ENSMUST00000147245.7	ENSMUSG00000045934	ENSMUST00000196004			Mtmr11			
chr11-449	chr11	96140481	96141233	+	96141923	NA	intron (ENSMUST00000167258.7, intron 7 of 14)	-intron (ENSMUST00000107680.1, intron 6 of 13)	6638	ENSMUST00000107680.1	ENSMUSG00000038756	ENSMUST00000167258			Ttll6			
chr11-450	chr11	96140481	96141233	+	96141923	NA	intron (ENSMUST00000167258.7, intron 7 of 14)	-intron (ENSMUST00000107680.1, intron 6 of 13)	6638	ENSMUST00000107680.1	ENSMUSG00000038756	ENSMUST00000167258			Ttll6			
chr3-252	chr3	96104133	96105113	+	96103903	NA	promoter-TSS (ENSMUST00000035519.11)	-promoter-TSS (ENSMUST00000035519.11)	75	ENSMUST00000146660.1	ENSMUSG00000038495	ENSMUST00000090785			Otud7b			
chr3-251	chr3	96104133	96105113	+	96103903	NA	promoter-TSS (ENSMUST00000035519.11)	-promoter-TSS (ENSMUST00000035519.11)	75	ENSMUST00000146660.1	ENSMUSG00000038495	ENSMUST00000090785			Otud7b			
chr3-250	chr3	96104133	96105113	+	96103903	NA	promoter-TSS (ENSMUST00000035519.11)	-promoter-TSS (ENSMUST00000035519.11)	75	ENSMUST00000146660.1	ENSMUSG00000038495	ENSMUST00000090785			Otud7b			
chr11-448	chr11	96093399	96093754	+	96094272	NA	Intergenic	Intergenic	-9720	ENSMUST00000082861.1	ENSMUSG00000064795	ENSMUST00000082861			Gm22423			
chr11-447	chr11	95974801	95975108	+	95974498	NA	intron (ENSMUST00000152896.7, intron 4 of 5)	-intron (ENSMUST00000013559.2, intron 5 of 14)	-7119	ENSMUST00000138513.1	ENSMUSG00000013415	ENSMUST00000152896			Igf2bp1			
chr10-271	chr10	95970227	95971224	+	95972464	NA	intron (ENSMUST00000053484.6, intron 1 of 28)	-intron (ENSMUST00000053484.6, intron 1 of 28)	30062	ENSMUST00000053484.6	ENSMUSG00000036499	ENSMUST00000053484			Eea1			
chr10-270	chr10	95970227	95971224	+	95972464	NA	intron (ENSMUST00000053484.6, intron 1 of 28)	-intron (ENSMUST00000053484.6, intron 1 of 28)	30062	ENSMUST00000053484.6	ENSMUSG00000036499	ENSMUST00000053484			Eea1			
chr4-452	chr4	95924236	95925178	+	95926476	NA	intron (ENSMUST00000156223.1, intron 4 of 4)	-intron (ENSMUST00000079223.10, intron 15 of 15)	42328	ENSMUST00000143332.1	ENSMUSG00000044125	ENSMUST00000143332			9530080O11Rik			
chr4-453	chr4	95924236	95925178	+	95926476	NA	intron (ENSMUST00000156223.1, intron 4 of 4)	-intron (ENSMUST00000079223.10, intron 15 of 15)	42328	ENSMUST00000143332.1	ENSMUSG00000044125	ENSMUST00000143332			9530080O11Rik			
chr3-247	chr3	95905208	95905471	+	95907143	NA	promoter-TSS (ENSMUST00000036181.14)	-promoter-TSS (ENSMUST00000036181.14)	-648	ENSMUST00000036181.14	ENSMUSG00000038526	ENSMUST00000147962			Car14			
chr3-249	chr3	95906216	95907132	+	95907143	NA	Intergenic	Intergenic	-1983	ENSMUST00000036181.14	ENSMUSG00000038526	ENSMUST00000147962			Car14			
chr3-248	chr3	95906216	95907132	+	95907143	NA	Intergenic	Intergenic	-1983	ENSMUST00000036181.14	ENSMUSG00000038526	ENSMUST00000147962			Car14			
chr3-245	chr3	95893490	95894668	+	95892802	NA	promoter-TSS (ENSMUST00000056710.9)	-promoter-TSS (ENSMUST00000056710.9)	24	ENSMUST00000056710.9	ENSMUSG00000015750	ENSMUST00000015894			Aph1a			
chr3-244	chr3	95893490	95894668	+	95892802	NA	promoter-TSS (ENSMUST00000056710.9)	-promoter-TSS (ENSMUST00000056710.9)	24	ENSMUST00000056710.9	ENSMUSG00000015750	ENSMUST00000015894			Aph1a			
chr3-246	chr3	95893490	95894668	+	95892802	NA	promoter-TSS (ENSMUST00000056710.9)	-promoter-TSS (ENSMUST00000056710.9)	24	ENSMUST00000056710.9	ENSMUSG00000015750	ENSMUST00000015894			Aph1a			
chr10-269	chr10	95882097	95882697	+	95883489	NA	Intergenic	Intergenic	-16206	ENSMUST00000104080.1	ENSMUSG00000077268	ENSMUST00000104080			Gm24433			
chr5-257	chr5	95880967	95881471	+	95879647	NA	Intergenic	Intergenic	13885	ENSMUST00000083912.2	ENSMUSG00000094471	ENSMUST00000083912			Gm25937			
chr13-236	chr13	95873255	95874086	+	95873090	NA	intron (ENSMUST00000068603.6, intron 1 of 35)	-intron (ENSMUST00000068603.6, intron 1 of 35)	18252	ENSMUST00000068603.6	ENSMUSG00000021676	ENSMUST00000068603			Iqgap2			
chr15-354	chr15	95869381	95869982	+	95870619	NA	intron (ENSMUST00000071874.6, intron 2 of 19)	-intron (ENSMUST00000071874.6, intron 2 of 19)	10136	ENSMUST00000175237.1	ENSMUSG00000092978	ENSMUST00000175237			Gm25070			
chr3-243	chr3	95855316	95856035	+	95857990	NA	promoter-TSS (ENSMUST00000161476.7)	-promoter-TSS (ENSMUST00000161476.7)	78	ENSMUST00000161476.7	ENSMUSG00000015748	ENSMUST00000159901			Prpf3			
chr8-247	chr8	95852322	95852647	+	95853293	NA	intron (ENSMUST00000040481.3, intron 2 of 11)	-intron (ENSMUST00000040481.3, intron 2 of 11)	1055	ENSMUST00000040481.3	ENSMUSG00000036534	ENSMUST00000142881			Slc38a7			
chr4-451	chr4	95849382	95849846	+	95847947	NA	promoter-TSS (ENSMUST00000142384.1)	-promoter-TSS (ENSMUST00000142384.1)	-11	ENSMUST00000142384.1	ENSMUSG00000028573	ENSMUST00000131654			Fggy			
chr13-232	chr13	95842522	95843552	+	95844001	NA	intron (ENSMUST00000068603.6, intron 1 of 35)	-intron (ENSMUST00000068603.6, intron 1 of 35)	48885	ENSMUST00000068603.6	ENSMUSG00000021676	ENSMUST00000068603			Iqgap2			
chr13-234	chr13	95842522	95843552	+	95844001	NA	intron (ENSMUST00000068603.6, intron 1 of 35)	-intron (ENSMUST00000068603.6, intron 1 of 35)	48885	ENSMUST00000068603.6	ENSMUSG00000021676	ENSMUST00000068603			Iqgap2			
chr13-235	chr13	95842522	95843552	+	95844001	NA	intron (ENSMUST00000068603.6, intron 1 of 35)	-intron (ENSMUST00000068603.6, intron 1 of 35)	48885	ENSMUST00000068603.6	ENSMUSG00000021676	ENSMUST00000068603			Iqgap2			
chr13-233	chr13	95842522	95843552	+	95844001	NA	intron (ENSMUST00000068603.6, intron 1 of 35)	-intron (ENSMUST00000068603.6, intron 1 of 35)	48885	ENSMUST00000068603.6	ENSMUSG00000021676	ENSMUST00000068603			Iqgap2			
chr8-245	chr8	95806986	95808286	+	95807813	NA	promoter-TSS (ENSMUST00000068452.8)	-promoter-TSS (ENSMUST00000068452.8)	-174	ENSMUST00000098473.10	ENSMUSG00000036550	ENSMUST00000068452			Cnot1			
chr8-246	chr8	95806986	95808286	+	95807813	NA	promoter-TSS (ENSMUST00000068452.8)	-promoter-TSS (ENSMUST00000068452.8)	-174	ENSMUST00000098473.10	ENSMUSG00000036550	ENSMUST00000068452			Cnot1			
chr16-243	chr16	95794201	95794584	+	95793291	NA	Intergenic	Intergenic	13925	ENSMUST00000156615.1	ENSMUSG00000085329	ENSMUST00000156615			2810404F17Rik			
chr16-242	chr16	95781450	95782181	+	95781132	NA	Intergenic	Intergenic	21979	ENSMUST00000193903.1	ENSMUSG00000104172	ENSMUST00000193903			Gm37259			
chr10-266	chr10	95772995	95774513	+	95776511	NA	intron (ENSMUST00000187483.6, intron 2 of 5)	-intron (ENSMUST00000187483.6, intron 2 of 5)	-5163	ENSMUST00000185499.1	ENSMUSG00000101517	ENSMUST00000187483			4732465J04Rik			
chr10-267	chr10	95772995	95774513	+	95776511	NA	intron (ENSMUST00000187483.6, intron 2 of 5)	-intron (ENSMUST00000187483.6, intron 2 of 5)	-5163	ENSMUST00000185499.1	ENSMUSG00000101517	ENSMUST00000187483			4732465J04Rik			
chr10-268	chr10	95772995	95774513	+	95776511	NA	intron (ENSMUST00000187483.6, intron 2 of 5)	-intron (ENSMUST00000187483.6, intron 2 of 5)	-5163	ENSMUST00000185499.1	ENSMUSG00000101517	ENSMUST00000187483			4732465J04Rik			
